sex,eda_sdem,anios_esc,ur_coei,n_hog,n_pro_viv,h_mud,empleo
1,28,9,2,1,9,0,1
1,59,16,1,1,27,0,1
2,43,9,1,1,81,0,1
1,57,12,1,1,99,0,1
2,14,0,1,1,128,0,0
1,19,12,2,1,130,0,1
2,58,16,1,1,31,0,0
2,60,0,1,1,124,0,0
2,73,6,1,1,68,2,0
2,33,9,2,1,70,0,0
1,16,10,1,1,188,0,1
1,65,6,1,1,4,0,1
1,14,8,2,1,70,0,1
1,18,11,1,1,24,0,1
2,51,9,1,1,98,0,1
2,41,99,2,1,116,0,0
2,32,12,1,1,112,0,0
1,31,17,1,1,21,0,0
2,12,6,1,1,7,0,0
2,2,0,1,2,87,0,1
2,50,16,1,1,40,0,1
2,13,7,2,1,46,0,1
2,50,6,1,1,105,0,1
2,62,17,1,1,134,0,1
2,88,0,2,1,148,0,0
1,7,0,1,1,48,0,0
2,22,12,1,1,50,0,1
1,54,9,1,1,4,0,0
2,15,9,2,1,82,0,0
2,52,18,2,1,25,0,0
2,55,15,1,1,2,0,0
1,37,7,1,1,71,0,1
2,66,6,1,1,46,0,1
2,37,9,2,1,52,0,1
2,54,9,2,1,47,0,0
2,49,9,2,1,45,0,0
1,50,16,1,1,83,0,1
2,46,6,1,1,6,0,1
 , ,0,1,1,110,0,1
2,30,12,1,1,47,0,0
2,24,16,1,1,79,0,0
2,16,9,1,1,66,0,1
1,44,16,2,1,238,0,1
1,25,12,1,1,13,0,1
1,37,12,2,1,105,0,0
2,14,8,2,1,109,0,1
1,35,9,1,1,27,0,1
1,7,0,1,1,40,0,1
2,78,6,1,1,114,0,0
2,68,12,1,1,70,0,0
2,78,5,1,1,111,0,1
2,50,17,2,1,173,0,1
2,16,6,2,1,47,0,0
2,19,11,1,1,83,0,0
2,39,12,1,1,35,0,1
2,36,9,2,1,32,0,1
1,7,0,1,1,123,0,1
2,41,17,1,1,101,0,1
2,1,0,1,1,77,0,1
1,71,0,1,1,53,0,1
1,55,12,1,1,82,0,0
1,51,3,2,1,2,0,0
1,34,9,1,1,68,0,0
2,7,0,1,1,67,0,1
1,71,4,2,1,21,0,1
1,11,0,2,1,53,0,0
1,13,5,1,1,90,0,1
1,25,9,1,1,30,0,1
2,10,0,1,1,60,0,1
2,53,12,1,1,174,0,1
1,31,9,1,1,94,0,0
2,13,6,1,1,11,0,0
1,20,12,1,1,108,0,1
1,38,16,1,1,72,0,1
1,64,17,1,1,65,0,0
1,10,0,1,1,109,0,0
2,56,9,1,1,26,0,1
2,15,6,1,1,61,0,0
2,23,12,1,1,10,0,1
1,50,6,2,1,17,0,0
2,89,3,1,1,42,0,0
2,6,0,2,1,22,1,0
1,79,4,1,1,106,0,1
1,3,0,1,1,33,0,0
1,50,19,1,1,76,0,1
2,5,0,2,1,16,0,0
2,32,16,1,1,45,0,0
1,42,19,2,1,78,0,1
2,8,0,2,1,39,0,1
2,10,0,1,1,44,0,1
2,59,9,1,1,100,0,1
1,33,10,1,1,119,0,0
2,42,16,1,1,98,0,1
1,2,0,2,1,52,0,1
2,40,9,1,1,45,0,1
1,62,9,2,1,30,0,0
2,33,12,1,1,55,0,0
1,31,9,2,1,66,0,0
1,49,9,1,1,449,0,1
2,19,11,1,1,76,0,1
 , ,0,1,1,143,0,0
2,65,6,2,1,42,0,0
2,12,6,1,1,3,0,0
2,6,0,2,1,69,0,0
1,59,6,1,1,5,0,1
2,16,8,2,1,30,0,0
2,43,17,1,1,68,0,0
1,24,15,2,1,13,0,1
1,41,9,1,1,169,0,1
1,17,11,1,1,96,0,1
2,64,99,1,1,147,0,0
1,16,8,1,1,49,0,0
1,5,0,2,1,110,0,1
1,54,9,2,1,66,0,1
2,26,17,1,1,52,0,0
2,22,13,1,1,27,0,0
1,24,10,2,1,65,0,1
2,48,9,2,1,69,0,0
1,48,9,1,1,61,0,1
2,13,7,1,1,21,0,0
1,32,9,2,1,56,0,0
1,25,17,1,1,115,0,1
1,12,5,1,1,63,0,1
1,59,6,2,1,82,0,1
1,3,0,1,1,134,0,1
2,5,0,1,1,58,0,0
2,31,9,2,1,35,0,1
1,19,12,1,1,42,1,1
1,24,7,2,1,121,0,0
2,43,9,1,1,83,0,1
2,7,0,1,1,117,0,1
1,41,17,1,1,71,0,0
1,15,10,2,1,189,0,0
2,51,21,1,1,122,0,0
2,52,9,1,1,32,0,1
2,46,6,1,1,41,0,1
1,16,9,1,1,50,0,0
1,16,10,1,1,18,0,0
2,36,6,2,1,133,0,0
2,71,12,1,1,159,0,0
1,25,9,1,1,47,0,1
2,47,9,2,1,113,0,1
1,40,9,1,1,2,0,1
2,26,9,1,1,52,0,1
1,14,8,1,1,13,0,0
2,73,3,1,1,22,0,0
2,31,16,1,1,111,0,0
2,47,12,1,1,66,0,1
2,35,12,1,1,161,0,1
2,72,17,1,1,97,0,0
1,53,9,1,1,87,0,1
1,58,6,1,1,38,0,1
1,40,6,2,1,93,0,0
1,45,6,2,1,17,0,0
1,2,0,1,1,133,0,0
2,9,0,2,1,105,0,0
2,44,12,1,1,87,0,0
1,18,11,1,1,58,0,0
1,83,6,2,1,115,0,0
1,8,0,2,1,82,0,1
2,42,0,1,2,19,0,1
1,9,0,2,1,42,0,1
2,14,8,2,1,22,0,0
2,23,16,2,1,126,0,0
2,42,12,2,1,165,0,0
2,70,12,1,1,31,0,0
2,1,0,2,1,29,0,1
1,53,3,2,1,82,0,1
2,1,0,1,1,17,0,1
1,20,12,2,1,29,0,1
1,58,12,1,1,44,0,1
2,35,13,1,1,70,0,0
2,13,5,1,1,51,0,1
2,69,6,2,1,18,0,0
2,55,9,1,1,76,0,1
1,70,6,2,1,117,0,0
1,20,9,2,1,231,0,1
2,27,17,1,1,104,0,1
2,53,9,1,1,40,0,0
2,15,7,2,1,14,0,0
2,17,11,2,1,98,0,0
2,35,9,1,1,15,0,1
1,17,12,1,1,52,0,1
1,49,6,2,1,144,0,0
2,5,0,2,1,141,0,0
2,32,6,1,1,88,0,1
2,11,0,2,1,61,0,0
2,51,16,1,1,26,0,1
2,9,0,1,1,33,0,1
2,33,12,2,1,48,0,0
2,0,0,1,1,41,0,1
2,20,13,1,1,49,0,1
2,36,17,2,1,19,0,1
2,4,0,2,2,82,0,0
2,48,9,1,1,18,0,1
1,31,12,1,1,88,0,1
1,35,12,1,1,364,0,1
1,27,9,2,1,31,0,0
1,6,0,1,1,133,0,0
1,35,16,1,1,49,0,1
1,2,0,1,1,68,0,1
1,40,9,1,1,79,0,1
2,76,6,1,1,74,0,1
1,45,17,1,1,147,0,1
2,44,5,1,1,91,0,1
2,50,12,1,1,105,0,1
2,92,1,1,1,70,0,0
1,66,17,1,1,117,0,0
2,52,9,1,1,176,0,1
2,9,0,1,1,15,0,1
2,32,6,2,1,8,0,1
2,10,0,2,1,79,0,0
2,23,12,1,1,107,0,1
2,20,6,2,1,14,0,1
2,80,6,1,1,90,0,1
1,65,9,1,1,77,0,1
1,13,6,1,1,123,0,0
1,82,2,2,1,97,0,0
1,60,9,1,1,114,0,0
1,58,16,1,1,151,0,1
1,14,7,2,1,34,0,0
2,7,0,2,1,23,0,1
1,16,9,1,1,66,0,0
1,22,16,1,1,87,0,1
2,8,0,1,1,78,0,0
2,8,0,1,1,95,0,0
2,28,12,1,1,116,0,0
2,37,17,1,1,82,0,0
2,38,6,1,1,229,1,0
2,33,12,1,1,109,0,0
2,62,12,1,1,35,0,1
2,48,6,2,1,90,0,1
1,29,12,2,1,29,0,0
2,50,4,2,1,101,0,1
1,26,9,1,1,106,0,1
2,6,0,1,1,78,0,0
 , ,0,1,1,63,0,0
1,18,12,1,1,37,0,1
2,19,12,1,1,93,0,0
2,18,11,1,1,161,0,0
1,20,12,1,1,125,1,0
2,41,6,2,1,85,0,1
1,54,6,1,1,32,0,0
2,47,12,2,1,114,0,0
 , ,0,1,1,33,0,1
1,63,15,1,1,30,0,1
2,14,8,2,1,98,0,1
2,13,5,2,1,123,0,0
1,62,12,1,1,127,0,0
2,13,7,2,1,5,0,1
1,70,17,1,1,164,0,0
 , ,0,1,1,54,0,0
2,42,6,1,1,42,0,1
1,81,0,2,1,32,0,1
2,30,9,2,1,100,0,1
2,58,3,1,1,125,0,1
1,48,3,2,1,113,0,0
1,70,6,1,1,127,0,0
2,40,6,2,1,70,0,0
1,63,17,1,1,13,0,1
1,17,9,1,1,50,0,1
 , ,0,2,1,78,0,1
2,43,9,2,1,83,0,0
2,22,12,1,1,156,0,0
1,20,14,1,1,30,0,0
2,33,9,2,1,96,0,0
1,12,6,2,1,36,0,1
1,6,0,2,1,135,0,0
2,27,13,1,1,106,0,0
2,32,17,1,1,14,0,1
1,13,5,1,1,96,0,0
1,15,8,1,1,4,0,0
2,46,9,1,1,35,0,0
2,26,3,2,1,28,0,0
2,75,6,1,1,89,0,1
2,28,16,1,1,65,0,0
2,55,6,2,1,10,0,1
1,1,0,1,1,49,0,0
2,45,16,1,1,38,0,0
1,16,8,1,1,87,0,0
1,16,9,2,1,114,0,1
1,46,0,2,1,127,0,1
1,0,0,2,1,19,0,1
1,33,16,2,1,130,0,1
1,16,10,1,1,67,0,1
2,70,6,1,1,27,0,0
1,21,15,1,1,69,0,1
2,13,6,2,1,102,0,0
2,63,9,1,1,11,0,0
2,34,16,1,1,130,0,1
2,30,16,2,1,67,0,1
2,44,6,2,1,96,0,1
2,58,15,1,1,122,0,0
2,38,9,1,1,86,0,1
1,49,16,1,1,117,0,0
2,9,0,1,1,127,0,0
2,8,0,1,1,9,0,1
2,54,9,2,1,2,0,1
1,56,9,1,1,109,0,1
2,39,12,2,1,54,0,0
2,78,0,2,1,41,0,0
1,20,9,1,1,60,0,1
2,36,12,1,1,49,0,0
1,94,0,2,1,9,0,0
1,12,6,1,1,103,0,0
1,51,9,2,1,47,0,0
2,72,2,1,1,89,0,1
1,50,9,1,1,77,0,1
2,38,8,2,1,10,0,1
1,13,0,1,1,47,0,0
1,25,17,1,1,53,0,1
2,47,6,1,1,111,0,1
1,53,17,1,1,96,0,1
1,62,17,1,1,86,0,0
2,32,12,1,1,75,0,1
1,23,12,1,1,8,0,1
2,37,9,1,1,80,0,1
2,33,6,2,1,94,0,0
1,21,12,2,1,169,0,1
1,12,6,2,1,121,0,1
1,87,9,1,1,133,0,0
2,16,8,1,1,139,0,0
2,38,9,2,1,59,0,0
1,42,12,2,1,150,0,0
2,18,11,1,1,115,0,0
1,71,2,2,1,120,0,0
2,30,9,1,1,110,0,0
2,67,2,2,1,16,0,0
2,22,9,2,1,188,0,1
1,8,0,1,1,99,0,1
2,25,14,1,1,25,0,0
2,34,17,2,1,4,0,0
2,55,0,2,1,124,0,0
1,62,17,2,1,47,0,1
2,47,16,1,1,80,0,1
1,17,11,1,1,50,0,1
2,22,10,1,1,15,0,0
2,23,14,1,1,15,0,1
1,55,17,1,1,38,0,0
1,15,9,1,1,119,0,0
 , ,0,2,1,227,0,0
 , ,0,2,1,147,1,1
1,84,6,1,1,79,0,0
2,40,9,1,1,128,0,1
 , ,0,1,1,87,0,0
1,37,10,1,1,41,0,1
2,20,12,1,1,168,0,1
2,30,15,1,1,9,1,1
1,37,9,1,1,134,0,0
1,8,0,1,1,78,0,1
1,15,8,1,1,18,0,0
2,57,1,1,1,31,0,0
2,23,12,2,1,51,0,1
2,70,0,2,1,40,0,0
2,39,9,1,1,69,0,1
1,30,6,2,1,7,0,1
2,5,0,1,1,141,0,1
1,23,17,1,1,3,0,1
1,53,12,1,1,91,0,1
1,79,6,1,1,39,0,0
1,22,9,1,1,83,0,0
1,80,6,1,1,15,0,1
2,24,13,1,1,114,0,1
2,76,9,1,1,1,0,0
2,12,3,2,1,144,0,1
2,48,9,2,1,37,0,0
1,18,12,2,1,27,0,0
2,45,9,2,1,64,0,1
1,24,9,2,1,63,0,1
1,2,0,1,1,128,0,0
2,59,11,2,1,19,0,1
2,59,17,1,1,47,0,0
1,14,7,2,1,59,0,0
1,19,9,1,1,107,0,1
1,19,12,1,1,27,0,1
1,11,0,2,1,75,0,0
1,49,9,1,1,25,0,0
1,13,6,1,1,60,0,1
2,44,12,2,1,51,0,0
2,46,6,1,1,65,0,1
1,72,15,1,1,212,0,0
1,62,17,1,1,93,0,0
2,17,10,1,1,39,0,0
2,32,12,1,1,56,0,1
1,13,7,1,1,103,0,0
1,3,0,2,1,119,0,1
2,1,0,1,1,112,0,0
2,73,8,1,1,85,0,0
2,54,6,1,1,32,0,1
1,23,6,1,1,60,0,0
2,17,11,1,1,30,0,0
2,71,6,1,1,61,0,0
2,49,6,2,1,114,0,1
1,10,0,2,1,146,0,0
1,56,12,1,1,41,0,1
 , ,0,2,1,107,0,1
2,37,14,2,1,123,0,1
2,13,6,2,1,103,0,1
1,12,7,1,1,44,0,1
2,64,12,1,1,56,0,0
2,69,2,1,1,46,0,1
1,5,0,1,1,57,0,0
2,71,6,1,1,33,0,0
2,8,0,1,1,58,0,0
2,43,17,1,1,124,0,0
2,39,9,1,1,126,0,1
2,25,17,1,1,89,0,0
2,49,0,1,1,119,0,1
1,18,9,2,1,101,0,1
2,3,0,1,1,72,0,1
2,55,12,1,1,67,0,0
1,39,6,1,1,78,0,0
2,5,0,2,1,33,0,1
2,55,12,1,1,78,0,1
